Game Number,Player Name,Moves,Time Taken,Date,Time
1,Sushmit,14,29.54,2024-10-10,20:37:59
2,Santosh,23,38.53,2024-10-10,21:08:17
3,Kabir,29,49.69,2024-10-11,00:10:23
4,Aryan,15,27.20,2024-10-11,15:18:12
5,Kabir,21,36.50,2024-10-11,15:26:49
6,Aryan,19,45.10,2024-10-11,15:32:15
7,Aryan,16,40.83,2024-10-12,11:50:17
8,Santosh,19,39.08,2024-10-12,13:29:54
9,Aryan,23,58.52,2024-10-12,23:40:41
10,Aryan,18,32.57,2024-10-12,23:43:52
11,Kabir,16,35.29,2024-10-13,12:55:51
12,Sushmit,17,28.75,2024-10-13,18:27:39
13,Aryan,18,44.94,2024-10-14,19:28:14
14,Sushmit,20,45.28,2024-10-14,19:35:55
15,Sushmit,28,53.05,2024-10-14,19:37:05
16,Sushmit,27,49.72,2024-10-14,20:06:40
17,Kabir,15,31.2,2024-10-15,22:28:46
18,Santosh,20,33.37,2024-10-15,22:29:47
19,Santosh,25,51.91,2024-10-15,22:38:01
20,Sushmit,13,22.16,2024-10-15,22:49:10
21,Sushmit,15,24.69,2024-10-15,22:51:08
22,Santosh,20,35.65,2024-10-15,22:53:01
